Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\mmWall\Project Outputs for mmWall\Pick Place for 26GHz-30GHz.txt

========================================================================================================================
File Design Information:

Date:       25-12-25
Time:       08:11
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator   Comment Layer       Footprint            Center-X(mil) Center-Y(mil) Rotation Description 
IND58_1      Comment TopLayer    026011C_ELE_2        1917.067      5865.063      90       ""          
IND59_1      Comment TopLayer    026011C_ELE_2        2035.003      5865.063      90       ""          
VAR2_3       Comment TopLayer    MAVR-000120_1141_MAG 1976.035      1720.600      180      ""          
VAR1_3       Comment BottomLayer MAVR-000120_1141_ELE 1976.035      1741.225      0        ""          
IND2_3       Comment BottomLayer 026011C_ELE_2        1952.621      1695.105      180      ""          
IND1_3       Comment BottomLayer 026011C_ELE_2        1999.449      1787.346      180      ""          
IND1_3_1     Comment BottomLayer 026011C_ELE_2        1999.449      1931.451      180      ""          
IND2_3_1     Comment BottomLayer 026011C_ELE_2        1952.621      1839.210      180      ""          
VAR1_3_1     Comment BottomLayer MAVR-000120_1141_ELE 1976.035      1885.330      0        ""          
VAR2_3_1     Comment TopLayer    MAVR-000120_1141_MAG 1976.035      1864.704      180      ""          
IND1_3_2     Comment BottomLayer 026011C_ELE_2        1999.449      2075.555      180      ""          
IND2_3_2     Comment BottomLayer 026011C_ELE_2        1952.621      1983.314      180      ""          
VAR1_3_2     Comment BottomLayer MAVR-000120_1141_ELE 1976.035      2029.435      0        ""          
VAR2_3_2     Comment TopLayer    MAVR-000120_1141_MAG 1976.035      2008.809      180      ""          
VAR2_3_2_1   Comment TopLayer    MAVR-000120_1141_MAG 1976.035      2441.123      180      ""          
VAR1_3_2_1   Comment BottomLayer MAVR-000120_1141_ELE 1976.035      2461.748      0        ""          
IND2_3_2_1   Comment BottomLayer 026011C_ELE_2        1952.621      2415.628      180      ""          
IND1_3_2_1   Comment BottomLayer 026011C_ELE_2        1999.449      2507.869      180      ""          
VAR2_3_1_1   Comment TopLayer    MAVR-000120_1141_MAG 1976.035      2297.018      180      ""          
VAR1_3_1_1   Comment BottomLayer MAVR-000120_1141_ELE 1976.035      2317.644      0        ""          
IND2_3_1_1   Comment BottomLayer 026011C_ELE_2        1952.621      2271.523      180      ""          
IND1_3_1_1   Comment BottomLayer 026011C_ELE_2        1999.449      2363.765      180      ""          
IND1_3_3     Comment BottomLayer 026011C_ELE_2        1999.449      2219.660      180      ""          
IND2_3_3     Comment BottomLayer 026011C_ELE_2        1952.621      2127.419      180      ""          
VAR1_3_3     Comment BottomLayer MAVR-000120_1141_ELE 1976.035      2173.539      0        ""          
VAR2_3_3     Comment TopLayer    MAVR-000120_1141_MAG 1976.035      2152.914      180      ""          
VAR2_3_3_1   Comment TopLayer    MAVR-000120_1141_MAG 1976.035      3017.541      180      ""          
VAR1_3_3_1   Comment BottomLayer MAVR-000120_1141_ELE 1976.035      3038.167      0        ""          
IND2_3_3_1   Comment BottomLayer 026011C_ELE_2        1952.621      2992.046      180      ""          
IND1_3_3_1   Comment BottomLayer 026011C_ELE_2        1999.449      3084.287      180      ""          
IND1_3_1_1_1 Comment BottomLayer 026011C_ELE_2        1999.449      3228.392      180      ""          
IND2_3_1_1_1 Comment BottomLayer 026011C_ELE_2        1952.621      3136.151      180      ""          
VAR1_3_1_1_1 Comment BottomLayer MAVR-000120_1141_ELE 1976.035      3182.271      0        ""          
VAR2_3_1_1_1 Comment TopLayer    MAVR-000120_1141_MAG 1976.035      3161.646      180      ""          
IND1_3_2_1_1 Comment BottomLayer 026011C_ELE_2        1999.449      3372.497      180      ""          
IND2_3_2_1_1 Comment BottomLayer 026011C_ELE_2        1952.621      3280.256      180      ""          
VAR1_3_2_1_1 Comment BottomLayer MAVR-000120_1141_ELE 1976.035      3326.376      0        ""          
VAR2_3_2_1_1 Comment TopLayer    MAVR-000120_1141_MAG 1976.035      3305.750      180      ""          
VAR2_3_2_2   Comment TopLayer    MAVR-000120_1141_MAG 1976.035      2873.437      180      ""          
VAR1_3_2_2   Comment BottomLayer MAVR-000120_1141_ELE 1976.035      2894.062      0        ""          
IND2_3_2_2   Comment BottomLayer 026011C_ELE_2        1952.621      2847.942      180      ""          
IND1_3_2_2   Comment BottomLayer 026011C_ELE_2        1999.449      2940.183      180      ""          
VAR2_3_1_2   Comment TopLayer    MAVR-000120_1141_MAG 1976.035      2729.332      180      ""          
VAR1_3_1_2   Comment BottomLayer MAVR-000120_1141_ELE 1976.035      2749.958      0        ""          
IND2_3_1_2   Comment BottomLayer 026011C_ELE_2        1952.621      2703.837      180      ""          
IND1_3_1_2   Comment BottomLayer 026011C_ELE_2        1999.449      2796.078      180      ""          
IND1_3_4     Comment BottomLayer 026011C_ELE_2        1999.449      2651.974      180      ""          
IND2_3_4     Comment BottomLayer 026011C_ELE_2        1952.621      2559.733      180      ""          
VAR1_3_4     Comment BottomLayer MAVR-000120_1141_ELE 1976.035      2605.853      0        ""          
VAR2_3_4     Comment TopLayer    MAVR-000120_1141_MAG 1976.035      2585.227      180      ""          
VAR2_3_3_2   Comment TopLayer    MAVR-000120_1141_MAG 1976.035      3882.169      180      ""          
VAR1_3_3_2   Comment BottomLayer MAVR-000120_1141_ELE 1976.035      3902.794      0        ""          
IND2_3_3_2   Comment BottomLayer 026011C_ELE_2        1952.621      3856.674      180      ""          
IND1_3_3_2   Comment BottomLayer 026011C_ELE_2        1999.449      3948.915      180      ""          
